From,To,Count,Area_km2,Period
7,13,2849,2.5641,2003-2004
7,15,3,0.0027,2003-2004
7,20,2162,1.9458,2003-2004
8,5,427,0.3843,2003-2004
8,7,563,0.5067,2003-2004
8,8,22317873,20086.0857,2003-2004
8,12,1124,1.0116,2003-2004
8,13,48536,43.6824,2003-2004
8,15,3,0.0027,2003-2004
8,20,43640,39.276,2003-2004
9,8,48,0.0432,2003-2004
9,9,161619,145.4571,2003-2004
9,13,120,0.108,2003-2004
9,15,2,0.0018,2003-2004
9,20,83,0.0747,2003-2004
11,11,2078,1.8702,2003-2004
12,5,13464,12.1176,2003-2004
12,7,23853,21.4677,2003-2004
12,8,5431,4.8879,2003-2004
12,12,14835949,13352.3541,2003-2004
12,13,4041,3.6369,2003-2004
12,20,126,0.1134,2003-2004
13,13,687246,618.5214,2003-2004
15,5,13,0.0117,2003-2004
15,7,32,0.0288,2003-2004
15,8,77,0.0693,2003-2004
15,9,85,0.0765,2003-2004
15,12,27,0.0243,2003-2004
15,13,109,0.0981,2003-2004
15,15,39428399,35485.5591,2003-2004
15,20,40,0.036,2003-2004
16,16,22194,19.9746,2003-2004
20,5,2825,2.5425,2003-2004
20,7,11257,10.1313,2003-2004
20,8,32334,29.1006,2003-2004
20,9,133,0.1197,2003-2004
20,12,253,0.2277,2003-2004
20,13,2015,1.8135,2003-2004
20,15,6,0.0054,2003-2004
20,20,10906353,9815.7177,2003-2004
5,5,2446598,2201.9382,2004-2005
5,7,112,0.1008,2004-2005
5,8,10566,9.5094,2004-2005
5,12,2355,2.1195,2004-2005
5,13,532,0.4788,2004-2005
5,15,2,0.0018,2004-2005
5,20,1778,1.6002,2004-2005
7,5,244,0.2196,2004-2005
7,7,4726454,4253.8086,2004-2005
7,8,4286,3.8574,2004-2005
7,12,178,0.1602,2004-2005
7,13,522,0.4698,2004-2005
7,15,3,0.0027,2004-2005
7,20,1014,0.9126,2004-2005
8,5,75,0.0675,2004-2005
8,7,120,0.108,2004-2005
8,8,22379599,20141.6391,2004-2005
8,9,1,0.0009,2004-2005
8,12,311,0.2799,2004-2005
8,13,13316,11.9844,2004-2005
8,15,7,0.0063,2004-2005
8,20,26076,23.4684,2004-2005
9,8,2,0.0018,2004-2005
9,9,161747,145.5723,2004-2005
9,13,68,0.0612,2004-2005
9,20,20,0.018,2004-2005
11,11,2078,1.8702,2004-2005
12,5,3652,3.2868,2004-2005
12,7,2687,2.4183,2004-2005
12,8,1801,1.6209,2004-2005
12,9,6,0.0054,2004-2005
12,12,14825343,13342.8087,2004-2005
12,13,5801,5.2209,2004-2005
12,20,106,0.0954,2004-2005
13,13,745332,670.7988,2004-2005
15,5,24,0.0216,2004-2005
15,7,202,0.1818,2004-2005
15,8,474,0.4266,2004-2005
15,9,318,0.2862,2004-2005
15,12,38,0.0342,2004-2005
15,13,182,0.1638,2004-2005
15,15,39427060,35484.354,2004-2005
15,20,115,0.1035,2004-2005
16,16,22194,19.9746,2004-2005
20,5,742,0.6678,2004-2005
20,7,882,0.7938,2004-2005
20,8,6427,5.7843,2004-2005
20,9,153,0.1377,2004-2005
20,12,206,0.1854,2004-2005
20,13,1215,1.0935,2004-2005
20,15,1,0.0009,2004-2005
20,20,10945240,9850.716,2004-2005
5,5,2440687,2196.6183,2005-2006
5,7,27,0.0243,2005-2006
5,8,7323,6.5907,2005-2006
5,9,1,0.0009,2005-2006
5,12,1334,1.2006,2005-2006
5,13,448,0.4032,2005-2006
5,20,1515,1.3635,2005-2006
7,5,47,0.0423,2005-2006
7,7,4725692,4253.1228,2005-2006
7,8,1923,1.7307,2005-2006
7,12,169,0.1521,2005-2006
7,13,463,0.4167,2005-2006
7,20,2163,1.9467,2005-2006
8,5,237,0.2133,2005-2006
8,7,1580,1.422,2005-2006
8,8,22358201,20122.3809,2005-2006
8,9,2,0.0018,2005-2006
8,12,231,0.2079,2005-2006
8,13,10843,9.7587,2005-2006
8,15,26,0.0234,2005-2006
8,20,32035,28.8315,2005-2006
9,9,162110,145.899,2005-2006
9,13,63,0.0567,2005-2006
9,20,52,0.0468,2005-2006
11,11,2078,1.8702,2005-2006
12,5,4271,3.8439,2005-2006
12,7,5831,5.2479,2005-2006
12,8,1198,1.0782,2005-2006
12,12,14813246,13331.9214,2005-2006
12,13,3779,3.4011,2005-2006
12,20,106,0.0954,2005-2006
13,13,766968,690.2712,2005-2006
15,5,35,0.0315,2005-2006
15,7,144,0.1296,2005-2006
15,8,327,0.2943,2005-2006
15,9,239,0.2151,2005-2006
15,12,86,0.0774,2005-2006
15,13,167,0.1503,2005-2006
15,15,39425935,35483.3415,2005-2006
15,20,140,0.126,2005-2006
16,16,22194,19.9746,2005-2006
20,5,1033,0.9297,2005-2006
20,7,824,0.7416,2005-2006
20,8,4004,3.6036,2005-2006
20,9,111,0.0999,2005-2006
20,12,158,0.1422,2005-2006
20,13,861,0.7749,2005-2006
20,15,28,0.0252,2005-2006
20,20,10967330,9870.597,2005-2006
5,5,2434804,2191.3236,2006-2007
