From,To,Count,Area_km2,From_Label,To_Label,Period
9,15,1256367,1130.7303,Wetland,Water,2000-2001
9,16,43,0.0387,Wetland,Permanent ice and snow,2000-2001
9,20,455997,410.3973,Wetland,Forest,2000-2001
11,5,53597,48.2373,Lichens and Mosses,Shrubland,2000-2001
11,7,30912,27.8208,Lichens and Mosses,Grassland,2000-2001
11,8,59867,53.8803,Lichens and Mosses,Cropland,2000-2001
11,9,1389,1.2501,Lichens and Mosses,Wetland,2000-2001
11,11,934289,840.8601,Lichens and Mosses,Lichens and Mosses,2000-2001
11,12,12184,10.9656,Lichens and Mosses,Bareland,2000-2001
11,13,8670,7.803,Lichens and Mosses,Built-up,2000-2001
11,15,894,0.8046,Lichens and Mosses,Water,2000-2001
11,16,345,0.3105,Lichens and Mosses,Permanent ice and snow,2000-2001
11,20,12446,11.2014,Lichens and Mosses,Forest,2000-2001
12,5,382575,344.3175,Bareland,Shrubland,2000-2001
12,7,753156,677.8404,Bareland,Grassland,2000-2001
12,8,864585,778.1265,Bareland,Cropland,2000-2001
12,9,1186010,1067.409,Bareland,Wetland,2000-2001
12,11,6710,6.039,Bareland,Lichens and Mosses,2000-2001
12,12,1209685866,1088717.2794,Bareland,Bareland,2000-2001
12,13,368721,331.8489,Bareland,Built-up,2000-2001
12,15,31550,28.395,Bareland,Water,2000-2001
12,16,46141,41.5269,Bareland,Permanent ice and snow,2000-2001
12,20,75105,67.5945,Bareland,Forest,2000-2001
13,5,858830,772.947,Built-up,Shrubland,2000-2001
13,7,657803,592.0227,Built-up,Grassland,2000-2001
13,8,5048089,4543.2801,Built-up,Cropland,2000-2001
13,9,82754,74.4786,Built-up,Wetland,2000-2001
13,11,7937,7.1433,Built-up,Lichens and Mosses,2000-2001
13,12,257459,231.7131,Built-up,Bareland,2000-2001
13,13,105587540,95028.786,Built-up,Built-up,2000-2001
13,15,21961,19.7649,Built-up,Water,2000-2001
13,16,3439,3.0951,Built-up,Permanent ice and snow,2000-2001
13,20,612457,551.2113,Built-up,Forest,2000-2001
15,5,47840,43.056,Water,Shrubland,2000-2001
15,7,8119,7.3071,Water,Grassland,2000-2001
15,8,62843,56.5587,Water,Cropland,2000-2001
15,9,1217092,1095.3828,Water,Wetland,2000-2001
15,11,2748,2.4732,Water,Lichens and Mosses,2000-2001
15,12,94125,84.7125,Water,Bareland,2000-2001
15,13,30356,27.3204,Water,Built-up,2000-2001
15,15,3926089504,3533480.5536,Water,Water,2000-2001
15,16,43538,39.1842,Water,Permanent ice and snow,2000-2001
15,20,83849,75.4641,Water,Forest,2000-2001
16,5,25222,22.6998,Permanent ice and snow,Shrubland,2000-2001
16,7,886,0.7974,Permanent ice and snow,Grassland,2000-2001
16,8,1495,1.3455,Permanent ice and snow,Cropland,2000-2001
16,9,51,0.0459,Permanent ice and snow,Wetland,2000-2001
16,11,182,0.1638,Permanent ice and snow,Lichens and Mosses,2000-2001
16,12,14866,13.3794,Permanent ice and snow,Bareland,2000-2001
16,13,1766,1.5894,Permanent ice and snow,Built-up,2000-2001
16,15,18996,17.0964,Permanent ice and snow,Water,2000-2001
16,16,4756559,4280.9031,Permanent ice and snow,Permanent ice and snow,2000-2001
16,20,8647,7.7823,Permanent ice and snow,Forest,2000-2001
20,5,3354158,3018.7422,Forest,Shrubland,2000-2001
20,7,919688,827.7192,Forest,Grassland,2000-2001
20,8,8519557,7667.6013,Forest,Cropland,2000-2001
20,9,440795,396.7155,Forest,Wetland,2000-2001
20,11,13877,12.4893,Forest,Lichens and Mosses,2000-2001
20,12,61841,55.6569,Forest,Bareland,2000-2001
20,13,670951,603.8559,Forest,Built-up,2000-2001
20,15,40948,36.8532,Forest,Water,2000-2001
20,16,18908,17.0172,Forest,Permanent ice and snow,2000-2001
20,20,1242316171,1118084.5539,Forest,Forest,2000-2001
5,5,509635576,458672.0184,Shrubland,Shrubland,2001-2002
5,7,1354944,1219.4496,Shrubland,Grassland,2001-2002
5,8,7986437,7187.7933,Shrubland,Cropland,2001-2002
5,9,441353,397.2177,Shrubland,Wetland,2001-2002
5,11,46511,41.8599,Shrubland,Lichens and Mosses,2001-2002
5,12,360221,324.1989,Shrubland,Bareland,2001-2002
5,13,934655,841.1895,Shrubland,Built-up,2001-2002
5,15,42575,38.3175,Shrubland,Water,2001-2002
