From,To,Count,Area_km2,Period
15,15,39430427,3548738.4299999997,2001-2002
15,20,222,19.98,2001-2002
16,16,22194,1997.46,2001-2002
20,5,922,82.98,2001-2002
20,7,6139,552.51,2001-2002
20,8,22775,2049.75,2001-2002
20,9,52,4.68,2001-2002
20,12,447,40.23,2001-2002
20,13,2021,181.89,2001-2002
20,15,2,0.18,2001-2002
20,20,10907936,981714.24,2001-2002
5,5,2494069,224466.21,2002-2003
5,7,13,1.17,2002-2003
5,8,13627,1226.43,2002-2003
5,12,4820,433.8,2002-2003
5,13,536,48.239999999999995,2002-2003
5,20,1380,124.19999999999999,2002-2003
7,5,1070,96.3,2002-2003
7,7,4702936,423264.24,2002-2003
7,8,5928,533.52,2002-2003
7,12,269,24.21,2002-2003
7,13,2023,182.07,2002-2003
7,15,1,0.09,2002-2003
7,20,1049,94.41,2002-2003
8,5,1404,126.36,2002-2003
8,7,1459,131.31,2002-2003
8,8,22378821,2014093.89,2002-2003
8,9,1,0.09,2002-2003
8,12,514,46.26,2002-2003
8,13,43460,3911.3999999999996,2002-2003
8,15,6,0.54,2002-2003
8,20,38772,3489.48,2002-2003
9,7,1,0.09,2002-2003
9,8,3,0.27,2002-2003
9,9,161577,14541.93,2002-2003
9,13,138,12.42,2002-2003
9,15,3,0.27,2002-2003
9,20,41,3.69,2002-2003
11,11,2078,187.01999999999998,2002-2003
12,5,2274,204.66,2002-2003
12,7,4042,363.78,2002-2003
12,8,2958,266.21999999999997,2002-2003
12,12,14877022,1338931.98,2002-2003
12,13,4297,386.72999999999996,2002-2003
12,20,93,8.37,2002-2003
13,13,634434,57099.06,2002-2003
15,5,20,1.7999999999999998,2002-2003
15,7,91,8.19,2002-2003
15,8,623,56.07,2002-2003
15,9,254,22.86,2002-2003
15,12,65,5.85,2002-2003
15,13,133,11.969999999999999,2002-2003
15,15,39428772,3548589.48,2002-2003
15,20,486,43.739999999999995,2002-2003
16,16,22194,1997.46,2002-2003
20,5,2095,188.54999999999998,2002-2003
20,7,6413,577.17,2002-2003
20,8,10206,918.54,2002-2003
20,9,40,3.5999999999999996,2002-2003
20,12,174,15.66,2002-2003
20,13,2225,200.25,2002-2003
20,20,10913355,982201.95,2002-2003
5,5,2444991,220049.19,2003-2004
5,7,206,18.54,2003-2004
5,8,50865,4577.849999999999,2003-2004
5,12,1992,179.28,2003-2004
5,13,416,37.44,2003-2004
5,20,2462,221.57999999999998,2003-2004
7,5,223,20.07,2003-2004
7,7,4696790,422711.1,2003-2004
7,8,12877,1158.93,2003-2004
7,12,51,4.59,2003-2004
7,13,2849,256.40999999999997,2003-2004
7,15,3,0.27,2003-2004
7,20,2162,194.57999999999998,2003-2004
8,5,427,38.43,2003-2004
8,7,563,50.669999999999995,2003-2004
8,8,22317873,2008608.5699999998,2003-2004
8,12,1124,101.16,2003-2004
8,13,48536,4368.24,2003-2004
8,15,3,0.27,2003-2004
8,20,43640,3927.6,2003-2004
9,8,48,4.32,2003-2004
9,9,161619,14545.71,2003-2004
9,13,120,10.799999999999999,2003-2004
9,15,2,0.18,2003-2004
9,20,83,7.47,2003-2004
11,11,2078,187.01999999999998,2003-2004
12,5,13464,1211.76,2003-2004
12,7,23853,2146.77,2003-2004
12,8,5431,488.78999999999996,2003-2004
12,12,14835949,1335235.41,2003-2004
12,13,4041,363.69,2003-2004
12,20,126,11.34,2003-2004
13,13,687246,61852.14,2003-2004
15,5,13,1.17,2003-2004
15,7,32,2.88,2003-2004
15,8,77,6.93,2003-2004
15,9,85,7.6499999999999995,2003-2004
